Ticker,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200
AAPL,2021-04-26,131.3238,131.5478,130.0868,131.2167,66905100,,,,,131.2167,131.2167,131.2167,131.2167
AAPL,2021-04-27,131.4991,131.8887,130.6225,130.8952,66015800,,,,,131.1861,131.2041,131.2103,131.2135
AAPL,2021-04-28,130.8174,131.5089,129.6193,130.1063,107760100,,,,,131.0832,131.1610,131.1884,131.2025
AAPL,2021-04-29,132.9211,133.5056,129.0057,130.0089,151101000,,,,,130.9809,131.1158,131.1651,131.1906
AAPL,2021-04-30,128.3532,130.0869,127.6616,128.0415,109839500,,,,,130.7010,130.9953,131.1032,131.1592
AAPL,2021-05-03,128.6064,130.5836,128.4018,129.0934,75135100,,,,,130.5479,130.9207,131.0634,131.1387
AAPL,2021-05-04,127.7785,128.0707,123.4053,124.5254,137564700,,,,,129.9743,130.6699,130.9340,131.0729
AAPL,2021-05-05,125.8402,127.0577,124.6422,124.7688,84000900,,,,,129.4785,130.4385,130.8119,131.0102
AAPL,2021-05-06,124.5643,126.3759,123.8240,126.3662,78128300,,,,,129.1821,130.2788,130.7239,130.9640
AAPL,2021-05-07,127.6638,128.0638,126.3271,127.0394,78973300,,,,,128.9780,130.1517,130.6509,130.9249
AAPL,2021-05-10,126.2589,126.3857,123.7222,123.7612,88071200,,,,,128.4812,129.9011,130.5145,130.8536
AAPL,2021-05-11,120.4928,123.1953,119.7805,122.8441,126142800,,,,,127.9443,129.6244,130.3626,130.7739
AAPL,2021-05-12,120.3952,121.6050,119.2732,119.7805,112172300,,,,,127.1668,129.2384,130.1530,130.6645
AAPL,2021-05-13,121.5465,123.0782,121.2343,121.9270,105861300,,,,,126.6678,128.9516,129.9901,130.5776
AAPL,2021-05-14,123.1758,124.7759,122.7856,124.3466,81918000,,,,,126.4467,128.7710,129.8784,130.5156
AAPL,2021-05-17,123.7319,123.8393,122.1221,123.1953,74244600,,,,,126.1371,128.5524,129.7460,130.4428
AAPL,2021-05-18,123.4783,123.8978,121.7416,121.8099,63342900,,,,,125.7250,128.2880,129.5889,130.3569
AAPL,2021-05-19,120.1611,121.8782,119.8684,121.6538,92612000,,,,,125.3372,128.0278,129.4318,130.2703
AAPL,2021-05-20,122.1807,124.6100,122.0538,124.2100,76857100,,,,,125.2299,127.8781,129.3284,130.2100
AAPL,2021-05-21,124.7076,124.8832,122.1611,122.3758,79295400,125.3983,,,,124.9581,127.6623,129.1907,130.1320
AAPL,2021-05-24,122.9417,124.8247,122.8734,124.0051,63092900,125.0377,,,,124.8673,127.5189,129.0880,130.0710
AAPL,2021-05-25,124.7076,125.1954,123.2441,123.8100,72009500,124.6835,,,,124.7666,127.3735,128.9835,130.0087
AAPL,2021-05-26,123.8685,124.2880,123.3417,123.7612,56575900,124.3662,,,,124.6708,127.2318,128.8801,129.9466
AAPL,2021-05-27,123.3612,124.5320,122.0343,122.2294,94625600,123.9772,,,,124.4383,127.0356,128.7484,129.8698
AAPL,2021-05-28,122.5124,122.7368,121.5172,121.5757,71311100,123.6539,,,,124.1657,126.8215,128.6063,129.7873
AAPL,2021-06-01,122.0343,122.2977,120.9221,121.2538,67637100,123.2620,,,,123.8884,126.6032,128.4608,129.7024
AAPL,2021-06-02,121.2538,122.1904,121.0294,122.0148,59278900,123.1364,,,,123.7099,126.4232,128.3331,129.6259
AAPL,2021-06-03,121.6440,121.8099,120.1318,120.5318,76229200,122.9246,,,,123.4073,126.1922,128.1786,129.5354
AAPL,2021-06-04,121.0489,123.0880,120.8343,122.8246,75169300,122.7475,,,,123.3518,126.0601,128.0726,129.4686
AAPL,2021-06-07,123.0977,123.2441,121.7904,122.8343,71057600,122.5372,,,,123.3025,125.9336,127.9689,129.4026
AAPL,2021-06-08,123.5173,125.3320,123.1368,123.6539,74403800,122.5319,,,,123.3360,125.8442,127.8834,129.3454
AAPL,2021-06-09,124.1124,124.6393,123.4392,124.0344,56877900,122.5914,,,,123.4025,125.7733,127.8072,129.2925
AAPL,2021-06-10,123.9271,125.0686,122.8734,123.0392,71186400,122.7543,,,,123.3679,125.6660,127.7128,129.2303
AAPL,2021-06-11,123.4490,124.3368,123.0295,124.2490,53522400,122.8704,,,,123.4518,125.6105,127.6442,129.1808
AAPL,2021-06-14,124.7076,127.3613,123.9758,127.3028,96906500,123.0182,,,,123.8186,125.6768,127.6375,129.1621
AAPL,2021-06-15,126.7760,127.4199,126.2393,126.4833,62746300,123.1826,,,,124.0723,125.7085,127.6146,129.1354
AAPL,2021-06-16,127.1955,127.7028,125.3320,126.9809,91815000,123.4412,,,,124.3493,125.7584,127.6020,129.1140
AAPL,2021-06-17,126.6394,129.3224,126.4930,128.5809,96721700,123.7875,,,,124.7523,125.8690,127.6214,129.1087
AAPL,2021-06-18,127.5272,128.3077,127.0686,127.2833,108953300,123.9412,,,,124.9934,125.9245,127.6147,129.0905
AAPL,2021-06-21,127.1272,129.1859,126.0638,129.0785,79663300,124.2763,,,,125.3824,126.0482,127.6437,129.0904
AAPL,2021-06-22,128.9126,130.8151,128.4150,130.7176,74783600,124.6120,,,,125.8906,126.2313,127.7046,129.1066
AAPL,2021-06-23,130.5127,131.0493,129.9859,130.4444,60214200,124.9437,,,,126.3243,126.3965,127.7588,129.1199
AAPL,2021-06-24,131.1761,131.3615,129.6931,130.1615,68711000,125.2637,,,,126.6897,126.5442,127.8064,129.1303
AAPL,2021-06-25,130.2103,130.6298,129.5761,129.8688,70783700,125.6457,,,,126.9925,126.6745,127.8473,129.1376
AAPL,2021-06-28,130.1615,131.9567,130.1029,131.4981,62111300,126.1418,,,,127.4216,126.8637,127.9196,129.1611
AAPL,2021-06-29,131.5176,133.1665,131.0786,133.0104,64556100,126.7296,,,,127.9538,127.1048,128.0204,129.1994
AAPL,2021-06-30,132.8543,134.0641,132.5616,133.6250,63261400,127.3101,,,,128.4940,127.3604,128.1313,129.2434
AAPL,2021-07-01,133.2738,133.9860,132.4542,133.9275,52485800,127.9799,,,,129.0114,127.6180,128.2461,129.2900
